Name,weeks,potential_points,active_flare_weeks,latest_new_point_mjd,latest_new_point_flux,latest_flare_flux_threshold,latest_potential_flare_point,latest_flare_active,latest_mdp99_percent,latest_mdp99_available,latest_potential_mdp99_percent,best_potential_mdp99_percent,latest_active_mdp99_percent,best_active_mdp99_percent,peak_potential_flux,mean_potential_flux,source_average_flux,latest_new_point_flux_cosi,latest_threshold_cosi_flux,cadence_run,lookback_weeks_run,detection_method_run,confirmed_flare_weeks,latest_confirmed_flare_active,latest_confirmed_sigma_delta,flare_threshold_multiplier_run,latest_flaring_downward_steps,omit_from_attention,quiescent_background_origin,scan_csv,source_json,flare_plot,potential_flare_plot,confirmed_flare_plot
4FGL J1159.5+2914,745,169,108,60850.00001157408,1.29e-06,3.82e-07,True,True,287.6236543841849,True,287.6236543841849,201.94640541441083,287.6236543841849,201.94640541441083,0.00039471195070026906,0.00021671854840426638,6.271575312395049e-05,0.0002909590950876269,8.615998009571588e-05,weekly,30.0,both,135,True,10.303861315923696,1.0,1,False,cache,DownloadedLC/incremental/4FGL_J1159.5+2914_incremental_scan_thr1p0.csv,Sources/4FGL_J1159.5+2914.json,,,
4FGL J1229.0+0202,782,116,56,60850.00001157408,5.4e-07,4.919375e-07,True,True,40.06289034015123,True,40.06289034015123,10.472947093552726,40.06289034015123,10.472947093552726,0.0030002510227450413,0.001965027906959657,0.0009604726445804383,0.0016381552601439052,0.0014923518579389673,weekly,30.0,both,84,True,0.8384959024397711,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J1229.0+0202_incremental_scan_thr1p0.csv,Sources/4FGL_J1229.0+0202.json,,,
4FGL J2253.9+1609,840,523,460,60850.00001157408,4.82e-07,4.0508000000000013e-07,True,True,476.4680832752243,True,476.4680832752243,13.030114132185005,476.4680832752243,13.030114132185005,0.0002514111693718071,0.00021243678419482828,0.0004830491378091973,0.00018167943573794753,0.00015268611167785852,weekly,30.0,both,483,True,1.5049522815915808,1.0,1,False,cache,DownloadedLC/incremental/4FGL_J2253.9+1609_incremental_scan_thr1p0.csv,Sources/4FGL_J2253.9+1609.json,,,
4FGL J0224.2+0700,78,45,22,60794.00001157408,2.81e-07,6.846867924528302e-08,True,True,294.35024859396134,True,294.35024859396134,294.35024859396134,294.35024859396134,294.35024859396134,0.000547347967168943,0.0002480055498532589,0.000153852143765911,0.000547347967168943,0.0001333672327389611,weekly,30.0,both,8,True,1.4063159245473715,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J0224.2+0700_incremental_scan_thr1p0.csv,Sources/4FGL_J0224.2+0700.json,,,
4FGL J1642.9+3948,584,147,57,60850.00001157408,1.68e-07,1.4578000000000005e-07,True,True,234.04921917092008,True,234.04921917092008,73.19764896136297,234.04921917092008,89.67887046794183,0.0006272833956457273,0.0003835232690921683,0.00021207907001764676,0.000277325290706532,0.00024064571951903723,weekly,30.0,both,87,True,0.4983312628733244,1.0,1,False,cache,DownloadedLC/incremental/4FGL_J1642.9+3948_incremental_scan_thr1p0.csv,Sources/4FGL_J1642.9+3948.json,,,
4FGL J2232.6+1143,821,366,272,60850.00001157408,5.2e-07,3.751538461538462e-07,True,False,569.2698750102606,True,569.2698750102606,40.56031142738599,569.2698750102606,40.56031142738599,0.00029619405820461686,0.0002331900678577026,0.00015485950992271804,0.0001305261951410176,9.416808486726966e-05,weekly,30.0,both,316,True,2.630456091077252,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J2232.6+1143_incremental_scan_thr1p0.csv,Sources/4FGL_J2232.6+1143.json,,,
4FGL J1357.1+1921,116,59,8,60731.00001157408,2.03e-07,7.150588235294117e-08,True,False,689.72601440529,True,689.72601440529,689.72601440529,689.72601440529,689.72601440529,0.0001998380469657372,0.0001602867668371017,0.000101729047578724,0.0002817161356530879,9.923330469426067e-05,weekly,30.0,both,1,True,2.256102573889374,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J1357.1+1921_incremental_scan_thr1p0.csv,Sources/4FGL_J1357.1+1921.json,,,
4FGL J0625.8-5441,113,63,17,60787.00001157408,5.93e-08,5.85794117647059e-08,True,True,209.1734207532602,True,209.1734207532602,114.00052006978281,209.1734207532602,114.00052006978281,0.0006581086502395102,0.0006041957947114147,0.0005843739326743911,0.000551212471175183,0.0005445143729985181,weekly,30.0,both,0,False,0.018572787157709953,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J0625.8-5441_incremental_scan_thr1p0.csv,Sources/4FGL_J0625.8-5441.json,,,
4FGL J2202.7+4216,859,468,351,60850.00001157408,3.38e-07,2.996071428571429e-07,True,False,504.3021787252914,True,504.3021787252914,71.02913676450606,504.3021787252914,71.02913676450606,0.0004981236862053951,0.0002548585487212613,0.00013535847990209148,9.962473724107902e-05,8.830852923873755e-05,weekly,30.0,both,410,False,0.9956014694611727,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J2202.7+4216_incremental_scan_thr1p0.csv,Sources/4FGL_J2202.7+4216.json,,,
4FGL J1129.8-1447,369,113,50,60850.00001157408,3.09e-07,2.548571428571429e-07,True,False,236.45335103075072,True,236.45335103075072,50.97857415086591,236.45335103075072,50.97857415086591,0.000627181858613873,0.0005383031460295541,0.0003987449847774464,0.0005181796639349913,0.0004273844292464285,weekly,30.0,both,76,False,1.346269379199155,1.0,0,False,cache,DownloadedLC/incremental/4FGL_J1129.8-1447_incremental_scan_thr1p0.csv,Sources/4FGL_J1129.8-1447.json,,,
